Year,Production (GHGRP - MMTCO2e),Production (AIM Act - MMTCO2e),Phasedown Limit (MMTCO2e),Phasedown Limit (percent)
2019,234,null,null,null
2020,228,null,null,null
2021,188,null,null,null
2022,null,179.7,344.3,90%
2023,null,163.8,344.3,90%
2024,null,null,229.5,60%
2025,null,null,229.5,60%
2026,null,null,229.5,60%
2027,null,null,229.5,60%
2028,null,null,229.5,60%
2029,null,null,114.8,30%
2030,null,null,114.8,30%
2031,null,null,114.8,30%
2032,null,null,114.8,30%
2033,null,null,114.8,30%
2034,null,null,76.5,20%
2035,null,null,76.5,20%
2036,null,null,57.4,15%
2037,null,null,57.4,15%
2038,null,null,57.4,15%
2039,null,null,57.4,15%
