Port of Entry,HFC or HFC Blend Imported,Quantity of HFC or HFC Blend Imported (MT),Quantity of HFC or HFC Blend Imported (MTCO2e),HFC Color
"Alexandria Bay, New York - 0708",HFC-152a,65.92084,8174.18416,#C5EBC3
"Alexandria Bay, New York - 0708",Other HFC Blends,20.01187,14954.87045,#b8a090
"Area Port of Jacksonville, Florida - 1803",HFC-32,1534.67,1035902.25,#50EAD0
"Area Port of Tampa, Florida - 1801",R-421B,5700,18180150,#534141
"Atlanta, Georgia - 1704",HFC-227ea,0.005,16.1,#FF6F59
"Atlanta, Georgia - 1704",R-456A,0.00052,0.35568,#BCD0A4
"Atlanta, Georgia - 1704",R-473A,0.2,366,#7dd610
"Baltimore, Maryland - 1303",R-422B,11.517,29087.3352,#7eced5
"Baltimore, Maryland - 1303",R-438A,12.656,28658.68936,#38ecf4
"Buffalo, New York - 0901",HFC-125,1.619,5666.5,#283D73
"Buffalo, New York - 0901",HFC-134a,3.0669,4385.667,#99C750
"Buffalo, New York - 0901",HFC-143a,0.285,1273.95,#77b6b1
"Buffalo, New York - 0901",HFC-152a,3.202,397.048,#C5EBC3
"Buffalo, New York - 0901",HFC-32,1.231,830.925,#50EAD0
"Buffalo, New York - 0901",R-404A,7.101,27847.2816,#EE8082
"Buffalo, New York - 0901",R-407A,0.3742,788.4394,#66CED6
"Buffalo, New York - 0901",R-407C,1.4345,2544.587825,#E88D67
"Buffalo, New York - 0901",R-410A,5.0906,10626.6275,#05307e
"Buffalo, New York - 0901",R-454A,0.08,18.9,#354D73
"Buffalo, New York - 0901",R-454B,0.113,52.553475,#ff76b5
"Buffalo, New York - 0901",R-454C,0.0908,13.17735,#f3b47f
"Buffalo, New York - 0901",R-507A,0.7367,2935.7495,#98e94b
"Champlain, New York - 0712",HFC-134a,1.64,2345.2,#99C750
"Charleston, South Carolina - 1601",Other HFC Blends,95.2,198730,#b8a090
"Charleston, South Carolina - 1601",HFC-125,3187.02,11154570,#283D73
"Charleston, South Carolina - 1601",HFC-134a,570.2522298,815460.6886,#99C750
"Charleston, South Carolina - 1601",HFC-143a,1112.5,4972875,#77b6b1
"Charleston, South Carolina - 1601",HFC-227ea,5.819,18737.18,#FF6F59
"Charleston, South Carolina - 1601",HFC-236fa,77.5,760275,#63A46C
"Charleston, South Carolina - 1601",HFC-32,2323.8503,1568598.953,#50EAD0
"Charleston, South Carolina - 1601",R-404A,1.744,6839.2704,#EE8082
"Charleston, South Carolina - 1601",R-407C,12.543,22249.40055,#E88D67
