End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Centrifugal Chillers,Ammonia / Water Absorption,,N,0,0,B2,"March 18, 1994",Acceptable,
Centrifugal Chillers,Ammonia Absorption,,N,0,0,B2,"September 5, 1996; June 16, 2010",Acceptable,
Centrifugal Chillers,Ammonia Vapor Compression,,N,0,0,B2,"March 18, 1994",Acceptable,
Centrifugal Chillers,Ammonia Vapor Compression with Secondary Loop,,N,0,0,B2,"September 5, 1996; June 16, 2010",Acceptable,
Centrifugal Chillers,Desiccant Cooling,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Cold Storage Warehouses,HCFC-22,22,R/N,0.055,"1,810",A1,"March 18, 1994",Acceptable,
Cold Storage Warehouses,R-402A,HP-80,R/N,0.019,"2,746",A1,"March 18, 1994",Acceptable,
Cold Storage Warehouses,R-402B,HP-81,R/N,0.03,"2,379",A1,"March 18, 1994",Acceptable,
Commerical Ice Machines,HCFC-22,22,N,0.055,"1,810",A1,"March 18, 1994",Acceptable,
Commerical Ice Machines,R-402A,HP-80,R/N,0.019,"2,746",A1,"March 18, 1994",Acceptable,
Commerical Ice Machines,R-402B,HP-81,R/N,0.03,"2,379",A1,"March 18, 1994",Acceptable,
Household Refrigerators and Freezers,HFC-152a,,N,0,124,A2,"March 18, 1994",Acceptable,
Ice Skating Rinks,HCFC-22,22,R/N,0.055,"1,810",A1,"March 18, 1994",Acceptable,
Ice Skating Rinks,R-401A,SUVA MP-39,R,0.037,"1,182",A1,"March 18, 1994",Acceptable,
Ice Skating Rinks,R-401B,SUVA MP-66,R,0.040,"1,288",A1,"March 18, 1994",Acceptable,
Industrial Process Air Conditioning,HCFC-124,,R/N,0.022,609,A1,"March 18, 1994",Acceptable,
Industrial Process Refrigeration,Chlorine,,R/N,N/A,N/A,A1,"March 18, 1994",Acceptable,
Industrial Process Refrigeration,HCFC-22,22,R/N,0.055,"1,810",A1,"March 18, 1994",Acceptable,
Industrial Process Refrigeration,R-402A,HP-80,R/N,0.019,"2,746",A1,"March 18, 1994",Acceptable,
